,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaanaaq,77.484,-69.3632,13.55,70,97,8.88,GL,1638701721
1,Port Alfred,-33.5906,26.891,72.61,87,100,23.47,ZA,1638701721
2,Tazovsky,67.4667,78.7,-26.66,99,74,8.03,RU,1638701721
3,Vaxjo,56.8777,14.8091,28.45,86,90,13.8,SE,1638701721
4,Luanda,-8.8368,13.2343,82.4,78,75,4.61,AO,1638701701
5,Beringovskiy,63.05,179.3167,25.83,95,100,11.81,RU,1638701721
6,Kaitangata,-46.2817,169.8464,46.17,85,99,6.51,NZ,1638701722
7,Chokurdakh,70.6333,147.9167,-42.29,100,57,4.16,RU,1638701722
8,Arraial do Cabo,-22.9661,-42.0278,76.96,73,0,10.36,BR,1638701722
9,Gongzhuling,43.5008,124.8198,36.63,77,5,19.82,CN,1638701722
10,Avarua,-21.2078,-159.775,78.85,89,75,4.61,CK,1638701722
11,Butaritari,3.0707,172.7902,82.33,81,88,13.44,KI,1638701722
12,Yaring,6.8662,101.3689,80.64,73,77,7.76,TH,1638701722
13,Thompson,55.7435,-97.8558,-18.24,76,75,3.44,CA,1638701722
14,Cape Town,-33.9258,18.4232,69.12,69,75,17.27,ZA,1638701560
15,Chizhou,30.6578,117.4831,52.57,40,0,3.15,CN,1638701723
16,Dalvik,65.9702,-18.5286,30.13,69,99,13.69,IS,1638701723
17,Hong Kong,22.2855,114.1577,69.85,48,78,1.01,HK,1638701723
18,Palmer,42.1584,-72.3287,34.93,82,90,0.0,US,1638701723
19,Saint Anthony,45.0205,-93.218,30.29,83,90,5.01,US,1638701723
20,Aksarayskiy,46.7924,48.0119,48.15,86,100,11.59,RU,1638701723
21,Severo-Kuril'sk,50.6789,156.125,28.26,68,88,24.32,RU,1638701723
22,Moirāng,24.5,93.7667,71.65,91,100,3.22,IN,1638701723
23,Hobart,-42.8794,147.3294,57.11,76,0,9.22,AU,1638701724
24,Ushuaia,-54.8,-68.3,44.26,76,90,21.85,AR,1638701724
25,Yellowknife,62.456,-114.3525,-21.48,76,40,6.91,CA,1638701724
26,Cidreira,-30.1811,-50.2056,72.1,81,74,11.34,BR,1638701724
27,Bethel,41.3712,-73.414,39.56,61,100,3.36,US,1638701724
28,Barrow,71.2906,-156.7887,2.1,93,58,11.03,US,1638701639
29,Albany,42.6001,-73.9662,34.75,80,95,5.99,US,1638701724
30,Rikitea,-23.1203,-134.9692,74.97,79,97,7.16,PF,1638701725
31,Bud,39.447,-86.1758,35.85,67,74,7.72,US,1638701725
32,Hilo,19.7297,-155.09,71.26,98,92,1.01,US,1638701725
33,Codrington,-38.2667,141.9667,53.04,73,0,11.63,AU,1638701725
34,Katiola,8.1333,-5.1,77.63,28,50,2.93,CI,1638701725
35,Salalah,17.0151,54.0924,83.66,34,0,8.37,OM,1638701726
36,Pampa,35.5362,-100.9599,43.57,65,1,12.66,US,1638701726
37,Ratnagiri,16.9833,73.3,79.7,69,1,6.29,IN,1638701726
38,Carnarvon,-24.8667,113.6333,82.47,65,1,13.8,AU,1638701726
39,Jamestown,42.097,-79.2353,32.52,83,20,1.99,US,1638701726
40,Mataura,-46.1927,168.8643,48.47,98,100,1.32,NZ,1638701726
41,Lagoa,39.05,-27.9833,62.82,76,68,13.09,PT,1638701726
42,Boueni,-12.9025,45.0761,89.58,71,64,6.55,YT,1638701727
43,Adelaide,-34.9333,138.6,67.42,61,0,4.0,AU,1638701727
44,Ballitoville,-29.539,31.2144,83.17,78,20,9.22,ZA,1638701579
45,Mar del Plata,-38.0023,-57.5575,62.62,85,75,1.99,AR,1638701727
46,Maryville,35.7565,-83.9705,52.86,95,16,1.01,US,1638701727
47,Cabedelo,-6.9811,-34.8339,83.07,70,28,15.97,BR,1638701727
48,Longyearbyen,78.2186,15.6401,-0.87,96,89,0.94,SJ,1638701727
49,Kokopo,-4.352,152.2633,76.08,94,100,5.77,PG,1638701727
50,Busselton,-33.65,115.3333,73.09,53,30,20.51,AU,1638701728
51,Shihezi,44.3,86.0333,28.8,82,88,2.48,CN,1638701728
52,Airai,-8.9266,125.4092,63.54,94,100,1.52,TL,1638701728
53,Lüderitz,-26.6481,15.1594,69.8,59,0,15.73,NA,1638701728
54,Saint-Philippe,-21.3585,55.7679,85.59,70,5,11.52,RE,1638701728
55,Hermanus,-34.4187,19.2345,68.9,83,96,11.63,ZA,1638701728
56,East London,-33.0153,27.9116,70.74,100,90,13.8,ZA,1638701728
57,Esperance,-33.8667,121.9,67.84,80,19,16.08,AU,1638701728
58,Yasothon,15.75,104.1333,77.13,61,74,11.03,TH,1638701728
59,Mossamedes,-15.1961,12.1522,79.57,59,62,9.01,AO,1638701729
60,Lebu,-37.6167,-73.65,56.17,67,2,12.68,CL,1638701729
61,Bonavista,48.6499,-53.1147,29.12,58,29,16.89,CA,1638701729
62,Gorontalo,0.5412,123.0595,77.74,91,97,4.03,ID,1638701729
63,Umluj,25.0213,37.2685,81.61,61,3,17.07,SA,1638701729
64,Deer Lake,49.1667,-57.4316,22.86,93,75,5.75,CA,1638701729
65,Clyde River,70.4692,-68.5914,10.63,85,100,41.43,CA,1638701729
66,Conceição da Barra,-18.5933,-39.7322,78.39,76,23,0.43,BR,1638701729
67,Lüshunkou,38.8,121.2667,50.22,96,0,15.95,CN,1638701730
68,Basco,20.4487,121.9702,75.24,65,95,21.9,PH,1638701730
69,Bredasdorp,-34.5322,20.0403,65.28,81,99,9.57,ZA,1638701730
70,Nikolskoye,59.7035,30.7861,12.4,91,54,6.15,RU,1638701730
71,Puerto Ayora,-0.7393,-90.3518,67.78,94,50,6.17,EC,1638701633
72,Baní,18.2833,-70.3333,75.85,77,9,9.48,DO,1638701731
73,Bengkulu,-3.8004,102.2655,78.01,85,100,8.57,ID,1638701575
74,Tuktoyaktuk,69.4541,-133.0374,-20.02,87,22,7.0,CA,1638701731
75,Mocuba,-16.8392,36.9856,105.3,16,0,7.72,MZ,1638701731
76,Portland,45.5234,-122.6762,41.05,93,58,3.0,US,1638701731
77,Kapaa,22.0752,-159.319,67.64,78,78,11.07,US,1638701731
78,Pevek,69.7008,170.3133,-20.4,94,96,2.62,RU,1638701731
79,Avera,33.194,-82.5271,50.72,94,2,0.58,US,1638701731
80,Labuhan,-6.8844,112.2051,82.26,77,100,12.48,ID,1638701732
